replicate,log_loss,brier,auc,accuracy,games,home_win_rate,mean_probability,correct_games,expected_calibration_error,min_predicted_probability,max_predicted_probability,mean_predicted_probability,observed_home_win_rate,calibration_intercept_alpha,calibration_slope_gamma,delta_log_loss_vs_elo,delta_brier_vs_elo,delta_auc_vs_elo,delta_accuracy_vs_elo,delta_log_loss_vs_rank,delta_brier_vs_rank,delta_auc_vs_rank,delta_accuracy_vs_rank
0,0.4861782203237463,0.15806024072864172,0.8490486257928118,0.7755102040816326,98,0.5612244897959183,0.5212789340165231,76,0.08629129090216948,0.11618154536081363,0.9690462970709675,0.5212789340165231,0.5612244897959183,0.26500723393854414,1.2700083123884258,0.0017583986679315378,0.0005582647668551377,0.0,0.0,-0.027341819350919117,-0.009559179845838012,0.012262156448202943,-0.020408163265306145
1,0.439890110929629,0.13942971718860062,0.888327721661055,0.7849462365591398,93,0.7096774193548387,0.5919438929128851,73,0.15333727203598452,0.06816437655118983,0.9542478662684957,0.5919438929128851,0.7096774193548387,0.7597404744297717,1.7807037680736002,0.004222644116213037,0.0010535847847392699,0.0,0.0,-0.022893691648209147,-0.007404356405827317,0.0,-0.021505376344086002
2,0.4567167795856653,0.14629395790698524,0.8788888888888888,0.7888888888888889,90,0.6666666666666666,0.5770484019676636,71,0.1541452147873198,0.06816437655118983,0.9542478662684957,0.5770484019676636,0.6666666666666666,0.51632406844492,1.7566298133912694,0.00422150955982048,0.001137624185860553,0.0,0.0,-0.017897422857407308,-0.005066327949082405,-0.0005555555555556424,-0.022222222222222254
3,0.45418105856472923,0.14370872247301955,0.8834759710335748,0.8125,80,0.6125,0.5193259728606675,65,0.10617726621931686,0.13934558619367174,0.9690462970709675,0.5193259728606675,0.6125,0.8009317576433637,1.8761270437572706,0.0037777953585577118,0.0012611933461654512,0.0,0.0,-0.03729796520600337,-0.013935843405206705,0.0,-0.012499999999999956
4,0.45641688666529595,0.14694590829593432,0.8702380952380953,0.7843137254901961,102,0.5882352941176471,0.5428033550315183,80,0.07327424149424001,0.06816437655118983,0.9690462970709675,0.5428033550315183,0.5882352941176471,0.30440376503632494,1.3163413738563094,0.002378117607509389,0.0005683866317578168,0.0,0.0,-0.035008832751918684,-0.012186125020201638,0.019444444444444375,0.0
5,0.4683588786408538,0.15390436891503592,0.8417047184170471,0.7522935779816514,109,0.6697247706422018,0.6062617784567661,82,0.09822036174548066,0.06816437655118983,0.9690462970709675,0.6062617784567661,0.6697247706422018,0.357567942627822,1.1853732902620306,0.0016866205453942018,0.00013391902497378316,0.0,0.0,-0.025260297772865592,-0.008383479523783904,0.0087519025875189,0.00917431192660556
6,0.46125599811614193,0.1476828248288082,0.8771929824561404,0.8105263157894737,95,0.6,0.5465491062206801,77,0.11635028905736249,0.06816437655118983,0.9690462970709675,0.5465491062206801,0.6,0.3347953927293558,1.5610111947984904,0.0036067829064202472,0.0011603024476578017,0.0,0.0,-0.03194472591920533,-0.011391681060753611,0.012465373961218829,0.0
7,0.46056194474990464,0.1473041415198159,0.8710801393728224,0.7888888888888889,90,0.5444444444444444,0.5210036541594334,71,0.08473181869352807,0.11618154536081363,0.9690462970709675,0.5210036541594334,0.5444444444444444,0.18331975427967281,1.3141143750260709,0.00251790661544099,0.0007660407164788163,0.0,0.0,-0.033722970451170675,-0.01160267900672815,0.012941762070681984,-0.011111111111111183
8,0.4432283915712213,0.1405334014585053,0.8873737373737374,0.8131868131868132,91,0.6043956043956044,0.5452673173491817,74,0.11597269731300938,0.06816437655118983,0.9690462970709675,0.5452673173491817,0.6043956043956044,0.3974236952831908,1.6386225123578053,0.004185538220956686,0.001179260722833586,0.0,0.0,-0.03256906015878863,-0.01098472205604567,0.013131313131312994,0.0
9,0.4995852837536308,0.16265389977661443,0.841346153846154,0.7916666666666666,96,0.5416666666666666,0.5055390756890876,76,0.11004774323401012,0.11618154536081363,0.9690462970709675,0.5055390756890876,0.5416666666666666,0.25225173389681366,1.3823959971406574,0.0022689055168384487,0.0009743641051120633,0.0,0.0,-0.028115192759538055,-0.010431895743524072,0.004370629370629486,-0.02083333333333337
10,0.5094757120934567,0.16702620288558842,0.8393665158371041,0.7572815533980582,103,0.49514563106796117,0.5285803639988125,78,0.15258809520082736,0.06816437655118983,0.9690462970709675,0.5285803639988125,0.49514563106796117,-0.2110880528489765,1.1887755867263903,0.0017498903843893299,0.0006959188022271356,0.0,0.0,-0.018159920310648947,-0.0060465543972369196,0.010935143288084426,-0.029126213592232997
11,0.4726598449053841,0.15310471896229133,0.8551587301587302,0.7804878048780488,82,0.6585365853658537,0.5683741520322149,64,0.11118166447116289,0.06816437655118983,0.9690462970709675,0.5683741520322149,0.6585365853658537,0.5463527381779385,1.4463570499297713,0.0026822112975528056,0.0007119505503869472,0.0,0.0,-0.026308317856875152,-0.009485183699434435,0.003306878306878369,-0.012195121951219523
12,0.46201101003423123,0.14758384738018573,0.8863945578231294,0.7922077922077922,77,0.5454545454545454,0.5162155257531906,61,0.12086494670708049,0.11618154536081363,0.9690462970709675,0.5162155257531906,0.5454545454545454,0.2583958109997002,1.6511897163348637,0.004078536761617235,0.0012775180251894946,0.0,0.0,-0.021661900905931897,-0.005723154833251115,-0.013605442176870652,-0.025974025974025983
13,0.47244797650907383,0.15459356723358145,0.8377192982456141,0.7636363636363637,110,0.6545454545454545,0.5970824592389439,84,0.08318410561362526,0.06816437655118983,0.9690462970709675,0.5970824592389439,0.6545454545454545,0.30816183735826647,1.2182829011242706,0.0019351253790931833,0.000335153490240353,0.0,0.0,-0.02761351949979668,-0.009958002652330433,0.011695906432748648,0.00909090909090915
14,0.4615444728683181,0.14773207514189876,0.8691860465116279,0.7912087912087912,91,0.5274725274725275,0.5701602225618552,72,0.11905810667358292,0.06816437655118983,0.9328529855673348,0.5701602225618552,0.5274725274725275,-0.34999173980606635,1.2134609031959147,0.0019301437259959808,0.0004601736409972079,0.0,0.0,-0.03702391834122026,-0.013936696163240808,0.017926356589147208,0.0219780219780219
