candidate,model_type,architecture,elo_k,elo_hfa,trend_half_life_days,feature_set,n_features,logistic_c,prequential_games,prequential_log_loss,prequential_brier,prequential_auc,prequential_accuracy
k5_hfa80_hl20|elo|C0.1,direct_logistic,k5_hfa80_hl20,5.0,80.0,,elo,1,0.1,399,0.6312413674483677,0.21946195640204522,0.70569875151027,0.6716791979949874
k5_hfa80_hl20|elo|C0.03,direct_logistic,k5_hfa80_hl20,5.0,80.0,,elo,1,0.03,399,0.6312553684037208,0.21984110394897358,0.7060511478050745,0.6641604010025063
k5_hfa65_hl20|elo|C0.1,direct_logistic,k5_hfa65_hl20,5.0,65.0,,elo,1,0.1,399,0.6315120455702639,0.2195616200821057,0.705749093838099,0.6691729323308271
k5_hfa65_hl20|elo|C0.03,direct_logistic,k5_hfa65_hl20,5.0,65.0,,elo,1,0.03,399,0.6315172741676401,0.21994360963461695,0.7058246073298429,0.6641604010025063
k5_hfa50_hl20|elo|C0.03,direct_logistic,k5_hfa50_hl20,5.0,50.0,,elo,1,0.03,399,0.6317952657597368,0.22005320437436476,0.7056735803463552,0.6641604010025063
k5_hfa50_hl20|elo|C0.1,direct_logistic,k5_hfa50_hl20,5.0,50.0,,elo,1,0.1,399,0.6318017487975129,0.21966948503459408,0.7051953282319775,0.6666666666666666
k5_hfa80_hl20|elo|C0.3,direct_logistic,k5_hfa80_hl20,5.0,80.0,,elo,1,0.3,399,0.6318621927789928,0.21953824286747003,0.7059001208215867,0.6716791979949874
k5_hfa65_hl20|elo|C0.3,direct_logistic,k5_hfa65_hl20,5.0,65.0,,elo,1,0.3,399,0.6321338009954959,0.219636066779241,0.7055477245267822,0.6691729323308271
k5_hfa80_hl20|elo|C1.0,direct_logistic,k5_hfa80_hl20,5.0,80.0,,elo,1,1.0,399,0.6321859688678005,0.21959487542595996,0.7058497784937575,0.6691729323308271
k5_hfa80_hl20|elo|C3.0,direct_logistic,k5_hfa80_hl20,5.0,80.0,,elo,1,3.0,399,0.6322904535177608,0.219614356198527,0.7059001208215867,0.6691729323308271
k5_hfa80_hl20|elo|C10.0,direct_logistic,k5_hfa80_hl20,5.0,80.0,,elo,1,10.0,399,0.6323283565115466,0.21962153914823185,0.7058749496576722,0.6691729323308271
k5_hfa80_hl20|elo_bt|C0.1,direct_logistic,k5_hfa80_hl20,5.0,80.0,,elo_bt,2,0.1,399,0.6323981079667107,0.21997500411530277,0.7043898509867096,0.6641604010025063
k5_hfa80_hl20|elo_bt|C0.3,direct_logistic,k5_hfa80_hl20,5.0,80.0,,elo_bt,2,0.3,399,0.6324126892669673,0.2197973907908257,0.7049687877567459,0.6691729323308271
k5_hfa50_hl20|elo|C0.3,direct_logistic,k5_hfa50_hl20,5.0,50.0,,elo,1,0.3,399,0.6324254305387668,0.2197424604496156,0.7052708417237213,0.6666666666666666
k5_hfa65_hl20|elo|C1.0,direct_logistic,k5_hfa65_hl20,5.0,65.0,,elo,1,1.0,399,0.6324576033171425,0.21969190135060576,0.7054722110350381,0.6691729323308271
k5_hfa65_hl20|elo|C3.0,direct_logistic,k5_hfa65_hl20,5.0,65.0,,elo,1,3.0,399,0.6325620604902308,0.21971113755581356,0.7052960128876359,0.6691729323308271
k5_hfa65_hl20|elo|C10.0,direct_logistic,k5_hfa65_hl20,5.0,65.0,,elo,1,10.0,399,0.632599950008581,0.21971823312222954,0.7052708417237212,0.6716791979949874
